cleaned,bigram,trigram
bang basel maen game jadul pakai casing game yah kelewat skip,"['bang basel', 'basel maen', 'maen game', 'game jadul', 'jadul pakai', 'pakai casing', 'casing game', 'game yah', 'yah kelewat', 'kelewat skip']","['bang basel maen', 'basel maen game', 'maen game jadul', 'game jadul pakai', 'jadul pakai casing', 'pakai casing game', 'casing game yah', 'game yah kelewat', 'yah kelewat skip']"
tumben om david ngereview hp gak release indo mentok masuk,"['tumben om', 'om david', 'david ngereview', 'ngereview hp', 'hp gak', 'gak release', 'release indo', 'indo mentok', 'mentok masuk']","['tumben om david', 'om david ngereview', 'david ngereview hp', 'ngereview hp gak', 'hp gak release', 'gak release indo', 'release indo mentok', 'indo mentok masuk']"
bang review iqoo zr,"['bang review', 'review iqoo', 'iqoo zr']","['bang review iqoo', 'review iqoo zr']"
kalo pribadi ngluarin uang belasan juta beli hp xiomi syang bnget uang segitu mending beli samsung ato iphone xiomi lbih bgus spek nya,"['kalo pribadi', 'pribadi ngluarin', 'ngluarin uang', 'uang belasan', 'belasan juta', 'juta beli', 'beli hp', 'hp xiomi', 'xiomi syang', 'syang bnget', 'bnget uang', 'uang segitu', 'segitu mending', 'mending beli', 'beli samsung', 'samsung ato', 'ato iphone', 'iphone xiomi', 'xiomi lbih', 'lbih bgus', 'bgus spek', 'spek nya']","['kalo pribadi ngluarin', 'pribadi ngluarin uang', 'ngluarin uang belasan', 'uang belasan juta', 'belasan juta beli', 'juta beli hp', 'beli hp xiomi', 'hp xiomi syang', 'xiomi syang bnget', 'syang bnget uang', 'bnget uang segitu', 'uang segitu mending', 'segitu mending beli', 'mending beli samsung', 'beli samsung ato', 'samsung ato iphone', 'ato iphone xiomi', 'iphone xiomi lbih', 'xiomi lbih bgus', 'lbih bgus spek', 'bgus spek nya']"
bang bahas iqoo r,"['bang bahas', 'bahas iqoo', 'iqoo r']","['bang bahas iqoo', 'bahas iqoo r']"
harganya tuh,['harganya tuh'],[]
woow,[],[]
natlan emg region gajelas bang culturenya,"['natlan emg', 'emg region', 'region gajelas', 'gajelas bang', 'bang culturenya']","['natlan emg region', 'emg region gajelas', 'region gajelas bang', 'gajelas bang culturenya']"
ditunggu,[],[]
review iqoo zr bang,"['review iqoo', 'iqoo zr', 'zr bang']","['review iqoo zr', 'iqoo zr bang']"
info harga ready indonesia,"['info harga', 'harga ready', 'ready indonesia']","['info harga ready', 'harga ready indonesia']"
selamat tinggal iphone harga doang mahal inovasi minim pelit teknologi buktinya tipe c iphone,"['selamat tinggal', 'tinggal iphone', 'iphone harga', 'harga doang', 'doang mahal', 'mahal inovasi', 'inovasi minim', 'minim pelit', 'pelit teknologi', 'teknologi buktinya', 'buktinya tipe', 'tipe c', 'c iphone']","['selamat tinggal iphone', 'tinggal iphone harga', 'iphone harga doang', 'harga doang mahal', 'doang mahal inovasi', 'mahal inovasi minim', 'inovasi minim pelit', 'minim pelit teknologi', 'pelit teknologi buktinya', 'teknologi buktinya tipe', 'buktinya tipe c', 'tipe c iphone']"
bang bahas iqoo z vs iqoo zr,"['bang bahas', 'bahas iqoo', 'iqoo z', 'z vs', 'vs iqoo', 'iqoo zr']","['bang bahas iqoo', 'bahas iqoo z', 'iqoo z vs', 'z vs iqoo', 'vs iqoo zr']"
coba samsung,['coba samsung'],[]
hp brand china gampang tenggelam krna identitas kuat niru desain ngikutin nama pro max,"['hp brand', 'brand china', 'china gampang', 'gampang tenggelam', 'tenggelam krna', 'krna identitas', 'identitas kuat', 'kuat niru', 'niru desain', 'desain ngikutin', 'ngikutin nama', 'nama pro', 'pro max']","['hp brand china', 'brand china gampang', 'china gampang tenggelam', 'gampang tenggelam krna', 'tenggelam krna identitas', 'krna identitas kuat', 'identitas kuat niru', 'kuat niru desain', 'niru desain ngikutin', 'desain ngikutin nama', 'ngikutin nama pro', 'nama pro max']"
bang review hp realme c ram,"['bang review', 'review hp', 'hp realme', 'realme c', 'c ram']","['bang review hp', 'review hp realme', 'hp realme c', 'realme c ram']"
josssss bang david,"['josssss bang', 'bang david']",['josssss bang david']
hp gw tuh poco x g,"['hp gw', 'gw tuh', 'tuh poco', 'poco x', 'x g']","['hp gw tuh', 'gw tuh poco', 'tuh poco x', 'poco x g']"
bang riviu hp murah bang tecno spark go harga nya k ngasih kamera resolusi k tolong bang penasaran,"['bang riviu', 'riviu hp', 'hp murah', 'murah bang', 'bang tecno', 'tecno spark', 'spark go', 'go harga', 'harga nya', 'nya k', 'k ngasih', 'ngasih kamera', 'kamera resolusi', 'resolusi k', 'k tolong', 'tolong bang', 'bang penasaran']","['bang riviu hp', 'riviu hp murah', 'hp murah bang', 'murah bang tecno', 'bang tecno spark', 'tecno spark go', 'spark go harga', 'go harga nya', 'harga nya k', 'nya k ngasih', 'k ngasih kamera', 'ngasih kamera resolusi', 'kamera resolusi k', 'resolusi k tolong', 'k tolong bang', 'tolong bang penasaran']"
hallo guys david hibernasi,"['hallo guys', 'guys david', 'david hibernasi']","['hallo guys david', 'guys david hibernasi']"
itukan cuman plastik pembungkus doangg,"['itukan cuman', 'cuman plastik', 'plastik pembungkus', 'pembungkus doangg']","['itukan cuman plastik', 'cuman plastik pembungkus', 'plastik pembungkus doangg']"
umur beli iphone,"['umur beli', 'beli iphone']",['umur beli iphone']
review realme t g bang,"['review realme', 'realme t', 't g', 'g bang']","['review realme t', 'realme t g', 't g bang']"
masuk resmi google abis iphone samsung,"['masuk resmi', 'resmi google', 'google abis', 'abis iphone', 'iphone samsung']","['masuk resmi google', 'resmi google abis', 'google abis iphone', 'abis iphone samsung']"
kali lihat lgsung menarik hati banget sihh xiaomi cantik banget,"['kali lihat', 'lihat lgsung', 'lgsung menarik', 'menarik hati', 'hati banget', 'banget sihh', 'sihh xiaomi', 'xiaomi cantik', 'cantik banget']","['kali lihat lgsung', 'lihat lgsung menarik', 'lgsung menarik hati', 'menarik hati banget', 'hati banget sihh', 'banget sihh xiaomi', 'sihh xiaomi cantik', 'xiaomi cantik banget']"
jomblo hape xiaomi motor beat pajak mati,"['jomblo hape', 'hape xiaomi', 'xiaomi motor', 'motor beat', 'beat pajak', 'pajak mati']","['jomblo hape xiaomi', 'hape xiaomi motor', 'xiaomi motor beat', 'motor beat pajak', 'beat pajak mati']"
xiomi udah jaman batu panas,"['xiomi udah', 'udah jaman', 'jaman batu', 'batu panas']","['xiomi udah jaman', 'udah jaman batu', 'jaman batu panas']"
triple,[],[]
weleh pakai xiaomit udah seneng banget kameranya udah xiaomi pro max,"['weleh pakai', 'pakai xiaomit', 'xiaomit udah', 'udah seneng', 'seneng banget', 'banget kameranya', 'kameranya udah', 'udah xiaomi', 'xiaomi pro', 'pro max']","['weleh pakai xiaomit', 'pakai xiaomit udah', 'xiaomit udah seneng', 'udah seneng banget', 'seneng banget kameranya', 'banget kameranya udah', 'kameranya udah xiaomi', 'udah xiaomi pro', 'xiaomi pro max']"
kerennn,[],[]
xiaomi inovasi cuman mindahin kamera doang ipong,"['xiaomi inovasi', 'inovasi cuman', 'cuman mindahin', 'mindahin kamera', 'kamera doang', 'doang ipong']","['xiaomi inovasi cuman', 'inovasi cuman mindahin', 'cuman mindahin kamera', 'mindahin kamera doang', 'kamera doang ipong']"
kameranya layar bg wajar tutup gitu,"['kameranya layar', 'layar bg', 'bg wajar', 'wajar tutup', 'tutup gitu']","['kameranya layar bg', 'layar bg wajar', 'bg wajar tutup', 'wajar tutup gitu']"
nonton doang beli kaga,"['nonton doang', 'doang beli', 'beli kaga']","['nonton doang beli', 'doang beli kaga']"
vid review tecno spark slim vid,"['vid review', 'review tecno', 'tecno spark', 'spark slim', 'slim vid']","['vid review tecno', 'review tecno spark', 'tecno spark slim', 'spark slim vid']"
parah hypeos nya riview,"['parah hypeos', 'hypeos nya', 'nya riview']","['parah hypeos nya', 'hypeos nya riview']"
bang tolong riview iqoo zr,"['bang tolong', 'tolong riview', 'riview iqoo', 'iqoo zr']","['bang tolong riview', 'tolong riview iqoo', 'riview iqoo zr']"
pabriknya china pakai rasakan kenikmatannya,"['pabriknya china', 'china pakai', 'pakai rasakan', 'rasakan kenikmatannya']","['pabriknya china pakai', 'china pakai rasakan', 'pakai rasakan kenikmatannya']"
udah nonton riview hp bbrp channel udah upload duluan knp klo blum nonton gadgetin blum afdol,"['udah nonton', 'nonton riview', 'riview hp', 'hp bbrp', 'bbrp channel', 'channel udah', 'udah upload', 'upload duluan', 'duluan knp', 'knp klo', 'klo blum', 'blum nonton', 'nonton gadgetin', 'gadgetin blum', 'blum afdol']","['udah nonton riview', 'nonton riview hp', 'riview hp bbrp', 'hp bbrp channel', 'bbrp channel udah', 'channel udah upload', 'udah upload duluan', 'upload duluan knp', 'duluan knp klo', 'knp klo blum', 'klo blum nonton', 'blum nonton gadgetin', 'nonton gadgetin blum', 'gadgetin blum afdol']"
bang coba riview oppo a pro g g,"['bang coba', 'coba riview', 'riview oppo', 'oppo a', 'a pro', 'pro g', 'g g']","['bang coba riview', 'coba riview oppo', 'riview oppo a', 'oppo a pro', 'a pro g', 'pro g g']"
bang iphone jiplak poco,"['bang iphone', 'iphone jiplak', 'jiplak poco']","['bang iphone jiplak', 'iphone jiplak poco']"
chipset sdnya kayaknya jelek,"['chipset sdnya', 'sdnya kayaknya', 'kayaknya jelek']","['chipset sdnya kayaknya', 'sdnya kayaknya jelek']"
info hp spek gahar panas guys,"['info hp', 'hp spek', 'spek gahar', 'gahar panas', 'panas guys']","['info hp spek', 'hp spek gahar', 'spek gahar panas', 'gahar panas guys']"
ttep iphone sh kalo,"['ttep iphone', 'iphone sh', 'sh kalo']","['ttep iphone sh', 'iphone sh kalo']"
pajangan poco yak,"['pajangan poco', 'poco yak']",['pajangan poco yak']
tetep xiaomi,['tetep xiaomi'],[]
xiaomi basic,['xiaomi basic'],[]
nonton hp redmi note gb pake wifi mbps hargarb perbulan,"['nonton hp', 'hp redmi', 'redmi note', 'note gb', 'gb pake', 'pake wifi', 'wifi mbps', 'mbps hargarb', 'hargarb perbulan']","['nonton hp redmi', 'hp redmi note', 'redmi note gb', 'note gb pake', 'gb pake wifi', 'pake wifi mbps', 'wifi mbps hargarb', 'mbps hargarb perbulan']"
ya resmi indo,"['ya resmi', 'resmi indo']",['ya resmi indo']
sebagus apapun hp china jt mahal hrga masuk akal dbwh jt,"['sebagus apapun', 'apapun hp', 'hp china', 'china jt', 'jt mahal', 'mahal hrga', 'hrga masuk', 'masuk akal', 'akal dbwh', 'dbwh jt']","['sebagus apapun hp', 'apapun hp china', 'hp china jt', 'china jt mahal', 'jt mahal hrga', 'mahal hrga masuk', 'hrga masuk akal', 'masuk akal dbwh', 'akal dbwh jt']"
mending iphone pro max xiomi pro max,"['mending iphone', 'iphone pro', 'pro max', 'max xiomi', 'xiomi pro', 'pro max']","['mending iphone pro', 'iphone pro max', 'pro max xiomi', 'max xiomi pro', 'xiomi pro max']"
tembus jt nonton ya bang,"['tembus jt', 'jt nonton', 'nonton ya', 'ya bang']","['tembus jt nonton', 'jt nonton ya', 'nonton ya bang']"
xiaomi juta gimana iniiii pro max hadehhhh naksir si gw ama xiaomi gw liat naksir gw gw luatndi store resmi nya,"['xiaomi juta', 'juta gimana', 'gimana iniiii', 'iniiii pro', 'pro max', 'max hadehhhh', 'hadehhhh naksir', 'naksir si', 'si gw', 'gw ama', 'ama xiaomi', 'xiaomi gw', 'gw liat', 'liat naksir', 'naksir gw', 'gw gw', 'gw luatndi', 'luatndi store', 'store resmi', 'resmi nya']","['xiaomi juta gimana', 'juta gimana iniiii', 'gimana iniiii pro', 'iniiii pro max', 'pro max hadehhhh', 'max hadehhhh naksir', 'hadehhhh naksir si', 'naksir si gw', 'si gw ama', 'gw ama xiaomi', 'ama xiaomi gw', 'xiaomi gw liat', 'gw liat naksir', 'liat naksir gw', 'naksir gw gw', 'gw gw luatndi', 'gw luatndi store', 'luatndi store resmi', 'store resmi nya']"
tungguin hp tesla bg,"['tungguin hp', 'hp tesla', 'tesla bg']","['tungguin hp tesla', 'hp tesla bg']"
telat,[],[]
tetep kalah stream game android ad nya,"['tetep kalah', 'kalah stream', 'stream game', 'game android', 'android ad', 'ad nya']","['tetep kalah stream', 'kalah stream game', 'stream game android', 'game android ad', 'android ad nya']"
kamera dibuang layar fitur,"['kamera dibuang', 'dibuang layar', 'layar fitur']","['kamera dibuang layar', 'dibuang layar fitur']"
nunggu huawei pura x gak lipat,"['nunggu huawei', 'huawei pura', 'pura x', 'x gak', 'gak lipat']","['nunggu huawei pura', 'huawei pura x', 'pura x gak', 'x gak lipat']"
boxnya kyk kotak brem madiun,"['boxnya kyk', 'kyk kotak', 'kotak brem', 'brem madiun']","['boxnya kyk kotak', 'kyk kotak brem', 'kotak brem madiun']"
inovasi ya merek buah munculin inovasi disetiap seri nya,"['inovasi ya', 'ya merek', 'merek buah', 'buah munculin', 'munculin inovasi', 'inovasi disetiap', 'disetiap seri', 'seri nya']","['inovasi ya merek', 'ya merek buah', 'merek buah munculin', 'buah munculin inovasi', 'munculin inovasi disetiap', 'inovasi disetiap seri', 'disetiap seri nya']"
xiaomi,[],[]
bang lupa review pake casing gamebot main game layar,"['bang lupa', 'lupa review', 'review pake', 'pake casing', 'casing gamebot', 'gamebot main', 'main game', 'game layar']","['bang lupa review', 'lupa review pake', 'review pake casing', 'pake casing gamebot', 'casing gamebot main', 'gamebot main game', 'main game layar']"
camera muter jdi kualitasnya,"['camera muter', 'muter jdi', 'jdi kualitasnya']","['camera muter jdi', 'muter jdi kualitasnya']"
keren,[],[]
review laptop min,"['review laptop', 'laptop min']",['review laptop min']
gua pengguna iphone pakai iphone g stay iphone kepikiran update mengurungkan niat review konten kreator termaksud gadgetin gua setuju iphone inovasi semoga tamparan xiaomi bikin iphone upgrade gila gila an seri,"['gua pengguna', 'pengguna iphone', 'iphone pakai', 'pakai iphone', 'iphone g', 'g stay', 'stay iphone', 'iphone kepikiran', 'kepikiran update', 'update mengurungkan', 'mengurungkan niat', 'niat review', 'review konten', 'konten kreator', 'kreator termaksud', 'termaksud gadgetin', 'gadgetin gua', 'gua setuju', 'setuju iphone', 'iphone inovasi', 'inovasi semoga', 'semoga tamparan', 'tamparan xiaomi', 'xiaomi bikin', 'bikin iphone', 'iphone upgrade', 'upgrade gila', 'gila gila', 'gila an', 'an seri']","['gua pengguna iphone', 'pengguna iphone pakai', 'iphone pakai iphone', 'pakai iphone g', 'iphone g stay', 'g stay iphone', 'stay iphone kepikiran', 'iphone kepikiran update', 'kepikiran update mengurungkan', 'update mengurungkan niat', 'mengurungkan niat review', 'niat review konten', 'review konten kreator', 'konten kreator termaksud', 'kreator termaksud gadgetin', 'termaksud gadgetin gua', 'gadgetin gua setuju', 'gua setuju iphone', 'setuju iphone inovasi', 'iphone inovasi semoga', 'inovasi semoga tamparan', 'semoga tamparan xiaomi', 'tamparan xiaomi bikin', 'xiaomi bikin iphone', 'bikin iphone upgrade', 'iphone upgrade gila', 'upgrade gila gila', 'gila gila an', 'gila an seri']"
cobain iqqo zr bang,"['cobain iqqo', 'iqqo zr', 'zr bang']","['cobain iqqo zr', 'iqqo zr bang']"
menunggu bln harga nya turun jt beli,"['menunggu bln', 'bln harga', 'harga nya', 'nya turun', 'turun jt', 'jt beli']","['menunggu bln harga', 'bln harga nya', 'harga nya turun', 'nya turun jt', 'turun jt beli']"
nirutp ngeledek ip,"['nirutp ngeledek', 'ngeledek ip']",['nirutp ngeledek ip']
rrq gak lolos play off,"['rrq gak', 'gak lolos', 'lolos play', 'play off']","['rrq gak lolos', 'gak lolos play', 'lolos play off']"
iphone terinspirasi desain modul kamera poco x pro wkwkwk,"['iphone terinspirasi', 'terinspirasi desain', 'desain modul', 'modul kamera', 'kamera poco', 'poco x', 'x pro', 'pro wkwkwk']","['iphone terinspirasi desain', 'terinspirasi desain modul', 'desain modul kamera', 'modul kamera poco', 'kamera poco x', 'poco x pro', 'x pro wkwkwk']"
poco m,['poco m'],[]
masuk indo ganti ip ku dehh please iklan xiaomi,"['masuk indo', 'indo ganti', 'ganti ip', 'ip ku', 'ku dehh', 'dehh please', 'please iklan', 'iklan xiaomi']","['masuk indo ganti', 'indo ganti ip', 'ganti ip ku', 'ip ku dehh', 'ku dehh please', 'dehh please iklan', 'please iklan xiaomi']"
telat bang david pengen hp android,"['telat bang', 'bang david', 'david pengen', 'pengen hp', 'hp android']","['telat bang david', 'bang david pengen', 'david pengen hp', 'pengen hp android']"
fyi qw tinggal amrik harga xiaomi usd tinggal dah dapet ip promax,"['fyi qw', 'qw tinggal', 'tinggal amrik', 'amrik harga', 'harga xiaomi', 'xiaomi usd', 'usd tinggal', 'tinggal dah', 'dah dapet', 'dapet ip', 'ip promax']","['fyi qw tinggal', 'qw tinggal amrik', 'tinggal amrik harga', 'amrik harga xiaomi', 'harga xiaomi usd', 'xiaomi usd tinggal', 'usd tinggal dah', 'tinggal dah dapet', 'dah dapet ip', 'dapet ip promax']"
bagus sih,['bagus sih'],[]
rekomendasi hp terbaik sesuai range harga nya,"['rekomendasi hp', 'hp terbaik', 'terbaik sesuai', 'sesuai range', 'range harga', 'harga nya']","['rekomendasi hp terbaik', 'hp terbaik sesuai', 'terbaik sesuai range', 'sesuai range harga', 'range harga nya']"
udah review ip pro max xiaumi pro max serasa afdol nonton gadgetin,"['udah review', 'review ip', 'ip pro', 'pro max', 'max xiaumi', 'xiaumi pro', 'pro max', 'max serasa', 'serasa afdol', 'afdol nonton', 'nonton gadgetin']","['udah review ip', 'review ip pro', 'ip pro max', 'pro max xiaumi', 'max xiaumi pro', 'xiaumi pro max', 'pro max serasa', 'max serasa afdol', 'serasa afdol nonton', 'afdol nonton gadgetin']"
mendingan iphone gitu yah,"['mendingan iphone', 'iphone gitu', 'gitu yah']","['mendingan iphone gitu', 'iphone gitu yah']"
penyakit throtlingnya xiaomi mengganggu turun xiaomi series,"['penyakit throtlingnya', 'throtlingnya xiaomi', 'xiaomi mengganggu', 'mengganggu turun', 'turun xiaomi', 'xiaomi series']","['penyakit throtlingnya xiaomi', 'throtlingnya xiaomi mengganggu', 'xiaomi mengganggu turun', 'mengganggu turun xiaomi', 'turun xiaomi series']"
revolusi hilangnya kamera,"['revolusi hilangnya', 'hilangnya kamera']",['revolusi hilangnya kamera']
bang udah kaum mendang mending rekomendasi hp bang,"['bang udah', 'udah kaum', 'kaum mendang', 'mendang mending', 'mending rekomendasi', 'rekomendasi hp', 'hp bang']","['bang udah kaum', 'udah kaum mendang', 'kaum mendang mending', 'mendang mending rekomendasi', 'mending rekomendasi hp', 'rekomendasi hp bang']"
tunggu tunggu,['tunggu tunggu'],[]
iphone lg kepingin join circel android hehehe,"['iphone lg', 'lg kepingin', 'kepingin join', 'join circel', 'circel android', 'android hehehe']","['iphone lg kepingin', 'lg kepingin join', 'kepingin join circel', 'join circel android', 'circel android hehehe']"
niru mi ultra gak sih bang,"['niru mi', 'mi ultra', 'ultra gak', 'gak sih', 'sih bang']","['niru mi ultra', 'mi ultra gak', 'ultra gak sih', 'gak sih bang']"
idea record genshin gamenya dimainin jam habis relog pengalaman gw genshin download cache nya hapus gamenya frame drop,"['idea record', 'record genshin', 'genshin gamenya', 'gamenya dimainin', 'dimainin jam', 'jam habis', 'habis relog', 'relog pengalaman', 'pengalaman gw', 'gw genshin', 'genshin download', 'download cache', 'cache nya', 'nya hapus', 'hapus gamenya', 'gamenya frame', 'frame drop']","['idea record genshin', 'record genshin gamenya', 'genshin gamenya dimainin', 'gamenya dimainin jam', 'dimainin jam habis', 'jam habis relog', 'habis relog pengalaman', 'relog pengalaman gw', 'pengalaman gw genshin', 'gw genshin download', 'genshin download cache', 'download cache nya', 'cache nya hapus', 'nya hapus gamenya', 'hapus gamenya frame', 'gamenya frame drop']"
gw kalo nonton gak butuh spek peting kalo kameranya bagus oke hp penasaran kamera,"['gw kalo', 'kalo nonton', 'nonton gak', 'gak butuh', 'butuh spek', 'spek peting', 'peting kalo', 'kalo kameranya', 'kameranya bagus', 'bagus oke', 'oke hp', 'hp penasaran', 'penasaran kamera']","['gw kalo nonton', 'kalo nonton gak', 'nonton gak butuh', 'gak butuh spek', 'butuh spek peting', 'spek peting kalo', 'peting kalo kameranya', 'kalo kameranya bagus', 'kameranya bagus oke', 'bagus oke hp', 'oke hp penasaran', 'hp penasaran kamera']"
review samsung a g,"['review samsung', 'samsung a', 'a g']","['review samsung a', 'samsung a g']"
nubia red magic pro,"['nubia red', 'red magic', 'magic pro']","['nubia red magic', 'red magic pro']"
xiaomi ultra bang modul cameranya gede,"['xiaomi ultra', 'ultra bang', 'bang modul', 'modul cameranya', 'cameranya gede']","['xiaomi ultra bang', 'ultra bang modul', 'bang modul cameranya', 'modul cameranya gede']"
layar belakangnya canggih,"['layar belakangnya', 'belakangnya canggih']",['layar belakangnya canggih']
pengalaman pke leica huawei ppro cm bagus th stlh huawei nya kameranya aging hasil foto nya jelek bget ky dipaksa ganti hp trust issue longevity nya leica bagus doank keep up smpe thn ky samsung note ultra,"['pengalaman pke', 'pke leica', 'leica huawei', 'huawei ppro', 'ppro cm', 'cm bagus', 'bagus th', 'th stlh', 'stlh huawei', 'huawei nya', 'nya kameranya', 'kameranya aging', 'aging hasil', 'hasil foto', 'foto nya', 'nya jelek', 'jelek bget', 'bget ky', 'ky dipaksa', 'dipaksa ganti', 'ganti hp', 'hp trust', 'trust issue', 'issue longevity', 'longevity nya', 'nya leica', 'leica bagus', 'bagus doank', 'doank keep', 'keep up', 'up smpe', 'smpe thn', 'thn ky', 'ky samsung', 'samsung note', 'note ultra']","['pengalaman pke leica', 'pke leica huawei', 'leica huawei ppro', 'huawei ppro cm', 'ppro cm bagus', 'cm bagus th', 'bagus th stlh', 'th stlh huawei', 'stlh huawei nya', 'huawei nya kameranya', 'nya kameranya aging', 'kameranya aging hasil', 'aging hasil foto', 'hasil foto nya', 'foto nya jelek', 'nya jelek bget', 'jelek bget ky', 'bget ky dipaksa', 'ky dipaksa ganti', 'dipaksa ganti hp', 'ganti hp trust', 'hp trust issue', 'trust issue longevity', 'issue longevity nya', 'longevity nya leica', 'nya leica bagus', 'leica bagus doank', 'bagus doank keep', 'doank keep up', 'keep up smpe', 'up smpe thn', 'smpe thn ky', 'thn ky samsung', 'ky samsung note', 'samsung note ultra']"
iphone overated china hahahahaah,"['iphone overated', 'overated china', 'china hahahahaah']","['iphone overated china', 'overated china hahahahaah']"
kgk masuk pro masuk ultra kalo masuk varian bentrok,"['kgk masuk', 'masuk pro', 'pro masuk', 'masuk ultra', 'ultra kalo', 'kalo masuk', 'masuk varian', 'varian bentrok']","['kgk masuk pro', 'masuk pro masuk', 'pro masuk ultra', 'masuk ultra kalo', 'ultra kalo masuk', 'kalo masuk varian', 'masuk varian bentrok']"
info permainan ya mainin,"['info permainan', 'permainan ya', 'ya mainin']","['info permainan ya', 'permainan ya mainin']"
gadgetin review xiaomi pro nungguin bg kalok gadgetin,"['gadgetin review', 'review xiaomi', 'xiaomi pro', 'pro nungguin', 'nungguin bg', 'bg kalok', 'kalok gadgetin']","['gadgetin review xiaomi', 'review xiaomi pro', 'xiaomi pro nungguin', 'pro nungguin bg', 'nungguin bg kalok', 'bg kalok gadgetin']"
kedepannya kamera hilangin,"['kedepannya kamera', 'kamera hilangin']",['kedepannya kamera hilangin']
bang cobain mistibox bang,"['bang cobain', 'cobain mistibox', 'mistibox bang']","['bang cobain mistibox', 'cobain mistibox bang']"
desain niru butuh merancang desainnya lho china terkenal kecepatannya produksi,"['desain niru', 'niru butuh', 'butuh merancang', 'merancang desainnya', 'desainnya lho', 'lho china', 'china terkenal', 'terkenal kecepatannya', 'kecepatannya produksi']","['desain niru butuh', 'niru butuh merancang', 'butuh merancang desainnya', 'merancang desainnya lho', 'desainnya lho china', 'lho china terkenal', 'china terkenal kecepatannya', 'terkenal kecepatannya produksi']"
kedepannya inofasi layar blakang hp hp,"['kedepannya inofasi', 'inofasi layar', 'layar blakang', 'blakang hp', 'hp hp']","['kedepannya inofasi layar', 'inofasi layar blakang', 'layar blakang hp', 'blakang hp hp']"
bikin hp viral gara gara video bikin kamera nya main game retro kalo kamera layar udah jaman mi ultra,"['bikin hp', 'hp viral', 'viral gara', 'gara gara', 'gara video', 'video bikin', 'bikin kamera', 'kamera nya', 'nya main', 'main game', 'game retro', 'retro kalo', 'kalo kamera', 'kamera layar', 'layar udah', 'udah jaman', 'jaman mi', 'mi ultra']","['bikin hp viral', 'hp viral gara', 'viral gara gara', 'gara gara video', 'gara video bikin', 'video bikin kamera', 'bikin kamera nya', 'kamera nya main', 'nya main game', 'main game retro', 'game retro kalo', 'retro kalo kamera', 'kalo kamera layar', 'kamera layar udah', 'layar udah jaman', 'udah jaman mi', 'jaman mi ultra']"
kanapa nyentuh antutu jt karna chipsetnya limit brand hp kalo dicustom rom antutu jt,"['kanapa nyentuh', 'nyentuh antutu', 'antutu jt', 'jt karna', 'karna chipsetnya', 'chipsetnya limit', 'limit brand', 'brand hp', 'hp kalo', 'kalo dicustom', 'dicustom rom', 'rom antutu', 'antutu jt']","['kanapa nyentuh antutu', 'nyentuh antutu jt', 'antutu jt karna', 'jt karna chipsetnya', 'karna chipsetnya limit', 'chipsetnya limit brand', 'limit brand hp', 'brand hp kalo', 'hp kalo dicustom', 'kalo dicustom rom', 'dicustom rom antutu', 'rom antutu jt']"
review realme t bang,"['review realme', 'realme t', 't bang']","['review realme t', 'realme t bang']"
tetep sah review gadjetin,"['tetep sah', 'sah review', 'review gadjetin']","['tetep sah review', 'sah review gadjetin']"
bagus camera kacamata bang david,"['bagus camera', 'camera kacamata', 'kacamata bang', 'bang david']","['bagus camera kacamata', 'camera kacamata bang', 'kacamata bang david']"
mudah tertarik xiomi spesifikasi hpnya cuman udah make muncul penyakit,"['mudah tertarik', 'tertarik xiomi', 'xiomi spesifikasi', 'spesifikasi hpnya', 'hpnya cuman', 'cuman udah', 'udah make', 'make muncul', 'muncul penyakit']","['mudah tertarik xiomi', 'tertarik xiomi spesifikasi', 'xiomi spesifikasi hpnya', 'spesifikasi hpnya cuman', 'hpnya cuman udah', 'cuman udah make', 'udah make muncul', 'make muncul penyakit']"
kontennya bagus berbagi informasi inovatif bermanfaat orang keren,"['kontennya bagus', 'bagus berbagi', 'berbagi informasi', 'informasi inovatif', 'inovatif bermanfaat', 'bermanfaat orang', 'orang keren']","['kontennya bagus berbagi', 'bagus berbagi informasi', 'berbagi informasi inovatif', 'informasi inovatif bermanfaat', 'inovatif bermanfaat orang', 'bermanfaat orang keren']"
noton make hp realmi pro ngumpul,"['noton make', 'make hp', 'hp realmi', 'realmi pro', 'pro ngumpul']","['noton make hp', 'make hp realmi', 'hp realmi pro', 'realmi pro ngumpul']"
panas berlebihnya dual layar wajar brightnessnya,"['panas berlebihnya', 'berlebihnya dual', 'dual layar', 'layar wajar', 'wajar brightnessnya']","['panas berlebihnya dual', 'berlebihnya dual layar', 'dual layar wajar', 'layar wajar brightnessnya']"
miripsama kayak miultra,"['miripsama kayak', 'kayak miultra']",['miripsama kayak miultra']
bang compare pro max s ultra,"['bang compare', 'compare pro', 'pro max', 'max s', 's ultra']","['bang compare pro', 'compare pro max', 'pro max s', 'max s ultra']"
bangg cba bahas laptop kuliah bang,"['bangg cba', 'cba bahas', 'bahas laptop', 'laptop kuliah', 'kuliah bang']","['bangg cba bahas', 'cba bahas laptop', 'bahas laptop kuliah', 'laptop kuliah bang']"
