cleaned,bigram,trigram
kalo packaging sih mnurut gua msih dpt bonus hard case ip dpt bonus hard case gak kalo design emang btul bang ip niru pabrikan xiaomi poco kalo tampilan gambar wallpaper mnurut gua inovasi terobosan ip blakangngya sgede gaban ngasih bingkai doang fungsinya bingkai gada layarnya udah sih kalo inovasi ip ketinggalan ai ip ktinggalan,"['kalo packaging', 'packaging sih', 'sih mnurut', 'mnurut gua', 'gua msih', 'msih dpt', 'dpt bonus', 'bonus hard', 'hard case', 'case ip', 'ip dpt', 'dpt bonus', 'bonus hard', 'hard case', 'case gak', 'gak kalo', 'kalo design', 'design emang', 'emang btul', 'btul bang', 'bang ip', 'ip niru', 'niru pabrikan', 'pabrikan xiaomi', 'xiaomi poco', 'poco kalo', 'kalo tampilan', 'tampilan gambar', 'gambar wallpaper', 'wallpaper mnurut', 'mnurut gua', 'gua inovasi', 'inovasi terobosan', 'terobosan ip', 'ip blakangngya', 'blakangngya sgede', 'sgede gaban', 'gaban ngasih', 'ngasih bingkai', 'bingkai doang', 'doang fungsinya', 'fungsinya bingkai', 'bingkai gada', 'gada layarnya', 'layarnya udah', 'udah sih', 'sih kalo', 'kalo inovasi', 'inovasi ip', 'ip ketinggalan', 'ketinggalan ai', 'ai ip', 'ip ktinggalan']","['kalo packaging sih', 'packaging sih mnurut', 'sih mnurut gua', 'mnurut gua msih', 'gua msih dpt', 'msih dpt bonus', 'dpt bonus hard', 'bonus hard case', 'hard case ip', 'case ip dpt', 'ip dpt bonus', 'dpt bonus hard', 'bonus hard case', 'hard case gak', 'case gak kalo', 'gak kalo design', 'kalo design emang', 'design emang btul', 'emang btul bang', 'btul bang ip', 'bang ip niru', 'ip niru pabrikan', 'niru pabrikan xiaomi', 'pabrikan xiaomi poco', 'xiaomi poco kalo', 'poco kalo tampilan', 'kalo tampilan gambar', 'tampilan gambar wallpaper', 'gambar wallpaper mnurut', 'wallpaper mnurut gua', 'mnurut gua inovasi', 'gua inovasi terobosan', 'inovasi terobosan ip', 'terobosan ip blakangngya', 'ip blakangngya sgede', 'blakangngya sgede gaban', 'sgede gaban ngasih', 'gaban ngasih bingkai', 'ngasih bingkai doang', 'bingkai doang fungsinya', 'doang fungsinya bingkai', 'fungsinya bingkai gada', 'bingkai gada layarnya', 'gada layarnya udah', 'layarnya udah sih', 'udah sih kalo', 'sih kalo inovasi', 'kalo inovasi ip', 'inovasi ip ketinggalan', 'ip ketinggalan ai', 'ketinggalan ai ip', 'ai ip ktinggalan']"
inopasi sih sangad inopasi,"['inopasi sih', 'sih sangad', 'sangad inopasi']","['inopasi sih sangad', 'sih sangad inopasi']"
real emang kalo user iphone liat user interfacepride enak walopun inovasi menang xiaomi,"['real emang', 'emang kalo', 'kalo user', 'user iphone', 'iphone liat', 'liat user', 'user interfacepride', 'interfacepride enak', 'enak walopun', 'walopun inovasi', 'inovasi menang', 'menang xiaomi']","['real emang kalo', 'emang kalo user', 'kalo user iphone', 'user iphone liat', 'iphone liat user', 'liat user interfacepride', 'user interfacepride enak', 'interfacepride enak walopun', 'enak walopun inovasi', 'walopun inovasi menang', 'inovasi menang xiaomi']"
xiaomi pull layar,"['xiaomi pull', 'pull layar']",['xiaomi pull layar']
b deng gw wow gtu hh better vivo seri x,"['b deng', 'deng gw', 'gw wow', 'wow gtu', 'gtu hh', 'hh better', 'better vivo', 'vivo seri', 'seri x']","['b deng gw', 'deng gw wow', 'gw wow gtu', 'wow gtu hh', 'gtu hh better', 'hh better vivo', 'better vivo seri', 'vivo seri x']"
apple mah brandingnya artispejabat sma cwe doang ngerti teknologi inovasimrka taunya gayaan doangklo iphone hp bagus hpnya orang kayamaka nya iphone larisnya ya cwe doang,"['apple mah', 'mah brandingnya', 'brandingnya artispejabat', 'artispejabat sma', 'sma cwe', 'cwe doang', 'doang ngerti', 'ngerti teknologi', 'teknologi inovasimrka', 'inovasimrka taunya', 'taunya gayaan', 'gayaan doangklo', 'doangklo iphone', 'iphone hp', 'hp bagus', 'bagus hpnya', 'hpnya orang', 'orang kayamaka', 'kayamaka nya', 'nya iphone', 'iphone larisnya', 'larisnya ya', 'ya cwe', 'cwe doang']","['apple mah brandingnya', 'mah brandingnya artispejabat', 'brandingnya artispejabat sma', 'artispejabat sma cwe', 'sma cwe doang', 'cwe doang ngerti', 'doang ngerti teknologi', 'ngerti teknologi inovasimrka', 'teknologi inovasimrka taunya', 'inovasimrka taunya gayaan', 'taunya gayaan doangklo', 'gayaan doangklo iphone', 'doangklo iphone hp', 'iphone hp bagus', 'hp bagus hpnya', 'bagus hpnya orang', 'hpnya orang kayamaka', 'orang kayamaka nya', 'kayamaka nya iphone', 'nya iphone larisnya', 'iphone larisnya ya', 'larisnya ya cwe', 'ya cwe doang']"
spek dapet gaya dapet murah dapet,"['spek dapet', 'dapet gaya', 'gaya dapet', 'dapet murah', 'murah dapet']","['spek dapet gaya', 'dapet gaya dapet', 'gaya dapet murah', 'dapet murah dapet']"
mantap,[],[]
selanjut nya redmi note g redmi note g proredmi note g pro plus lauching china nya tahan banting tahan air panas extrim,"['selanjut nya', 'nya redmi', 'redmi note', 'note g', 'g redmi', 'redmi note', 'note g', 'g proredmi', 'proredmi note', 'note g', 'g pro', 'pro plus', 'plus lauching', 'lauching china', 'china nya', 'nya tahan', 'tahan banting', 'banting tahan', 'tahan air', 'air panas', 'panas extrim']","['selanjut nya redmi', 'nya redmi note', 'redmi note g', 'note g redmi', 'g redmi note', 'redmi note g', 'note g proredmi', 'g proredmi note', 'proredmi note g', 'note g pro', 'g pro plus', 'pro plus lauching', 'plus lauching china', 'lauching china nya', 'china nya tahan', 'nya tahan banting', 'tahan banting tahan', 'banting tahan air', 'tahan air panas', 'air panas extrim']"
bahas iqoo zr bg,"['bahas iqoo', 'iqoo zr', 'zr bg']","['bahas iqoo zr', 'iqoo zr bg']"
